author,title,journal,Volume,Number,Pages,year,url
"Annis, R; Anderson, S; Bayliss, A; RAMSEY, C BRONK; Huntley, J; Jones, J; Marshall, P; McGormac, FG; Pearson, G; Rogers, PW; ","An unusual group of Early Bronze Age burials from Windmill Fields, Ingleby Barwick, Stockton-on-Tees","Unpublished report, Tees Archaeology",,,,1997,
"Marshall, P; Mulville, J; Parker Pearson, M; Ingram, C; ","The Late Bronze Age and Early Iron Age community at Cladh Hallan, South Uist: Excavations in 1999","Unpublished Dept. of Archaeology and Prehistory report, University of Sheffield",,,,1999,
"Johnson, S; Neal, DS; Snape, M; Ramsey, CB; Croom, A; Cselik, A; Langston, J; Marshall, P; ","THE RE-EXCAVATION AND STUDY OF THE HELICON MOSAIC, ALDBOROUGH ROMAN TOWN",Yorkshire Archaeological Journal,74,,113-134,2000,
"Smith, Helen; Marshall, Peter; Pearson, Mike Parker; ",Reconstructing house activity areas,Environmental archaeology: meaning and purpose,,,249-270,2001,
"Parker Pearson, M; Marshall, P; Mulville, J; Smith, H; ",The Dead Beneath their Feet: Housewarming c. 1000 BC–Roundhouse Rituals at Cladh Hallan,Past,40,,01-Feb,2002,
"RAMSEY, C BRONK; CROOM, ALEXANDRA; CSELIK, ANNA; LANGSTON, JOY; MARSHALL, PETER; YORKSHIRE, FOUR COIN HOARDS FROM NORTH; BARCLAY, CRAIG; ","ALDBOROUGH ROMAN TOWN: EXCAVATIONS BY MISS D. CHARLESWORTH, 1961-73, AND BY",The Yorkshire Archaeological Journal,74,,266,2002,
"Dodd, Anne; Mellor, Maureen; Munby, Julian; Robinson, Mark; Wilkinson, David; Allen, Leigh; Armour-Chelu, Miranda; Barclay, Alistair; Bertram, Jerome Fr; Blair, John; ","OXFORD BEFORE THE UNIVERSITY The Late Saxon and Norman Archaeology of the Thames Crossing, the Defences and the Town",,,,,2003,
"Marshall, P; ",Reconstructing the environmental impact of past metallurgical activities,The environmental archaeology of industry,,20,10,2003,
"Bayliss, Alex; Marshall, Peter; Sidell, Jane; ",A puzzling body from the river Thames in London,Radiocarbon,46,1,285-291,2004,
"Marshall, Peter; Miles, Daniel; Heath, David; ",Tree-Ring dating at Salisbury Cathedral: informing repairs,Conservation Bulletin,4,,p. 04-05,2004,
"Marshall, P; van der Plicht, J; ",Dating,RJ Schulting ‘… pursuing a rabbit in Burrington Combe’: New research on the Early Mesolithic burial cave of Aveline’s Hole. Proceedings of the University of Bristol Spelaeological Society,23,3,226-233,2005,
"Pearson, Mike Parker; Chamberlain, Andrew; Craig, Oliver; Marshall, Peter; Mulville, Jacqui; Smith, Helen; Chenery, Carolyn; Collins, Matthew; Cook, Gordon; Craig, Geoffrey; ",Evidence for mummification in bronze age Britain,antiquity,79,305,529-546,2005,
"Toms, PS; Hosfield, RT; Chambers, JC; Green, CP; Marshall, P; ","Optical dating of the Broom Palaeolithic sites, Devon & Dorset",Centre for Archaeology Report,16,,2005,2005,
"A-AG, R Loveo; ",The antler maceheads dating project,Proceedings of the prehistoric Society,73,,381-392,2007,
"Best, Jo; Gent, Tim; Ramsey, C Bronk; Brunning, R; Cook, G; Friendship-Taylor, D; Hamilton, WD; Jones, J; Marshall, PD; van der Plicht, H; ","Bronze Age burnt mounds and early medieval timber structures at Town Farm Quarry, Burlescombe, Devon",Archaeological Journal,164,1,Jan-79,2007,
"Brunning, RICHARD; Ramsey, CB; Cameron, N; Cook, G; Davies, P; Gale, R; Groves, C; Hamilton, WD; Hogan, D; Jones, J; ",Monuments at risk in Somerset‟ s peatlands,Archaeology from the Wetlands: recent perspectives,,,191-198,2007,
"Chiverrell, RC; Thomas, GSP; Foster, GC; Lang, A; Marshall, P; Hamilton, D; Huckerby, E; ",The landscape: a heritage resource,"Aggregate Extraction in the Lower Ribble Valley; Quartermaine, J., Chiverrell, RC, Eds",,,95-132,2007,
"Cleal, R; Marshall, P; Needham, S; Pollard, J; Richards, C; Ruggles, C; Sheridan, A; Thomas, J; Tilley, C; Welham, K; ",The age of Stonehenge,Antiquity,81,313,,2007,
"Hamilton, D; Marshall, P; Roberts, HM; Ramsey, Christopher Bronk; Cook, G; ",Appendix 1 Gwithian: scientific dating,Cornish Archaeology,46,,13-76,2007,
"Hamilton, D; Marshall, P; Roberts, HM; Ramsey, Christopher Bronk; Cook, G; ",Gwithian: Scientific dating (AMS) programme,"Excavations of a Bronze Age landscape and post-Roman industrial settlement 1953-61, Gwithian, Cornwall: Assessment of key datasets 2005-6",,,249-263,2007,
"Parker Pearson, M; Chamberlain, A; Collins, M; Cox, C; Craig, G; Craig, O; Hiller, J; Marshall, P; Mulville, J; Smith, H; ",Antiquity,Further evidence for mummification in Bronze Age Britain,,,"81, P",2007,
"Pearson, M Parker; Chamberlain, Andrew; Collins, Matthew; Cox, Christie; Craig, Geoffrey; Craig, Oliver; Hiller, Jen; Marshall, Peter; Mulville, Jacqui; Smith, Helen; ",Further evidence for mummification in Bronze Age Britain,Antiquity,81,312,,2007,
"Pearson, Mike Parker; Cleal, Ros; Marshall, Peter; Needham, Stuart; Pollard, Josh; Richards, Colin; Ruggles, Clive; Sheridan, Alison; Thomas, Julian; Tilley, Chris; ",The age of Stonehenge,Antiquity,81,313,617-639,2007,
"Johnson, Ben; Waddington, Clive; Baker, Polydora; Ramsey, Chris Bronk; Clogg, Phil; Cook, Gordon; Cotton, Jacqueline; Hamilton, Derek; Marshall, Peter; Stern, Ben; ","Prehistoric and dark age settlement remains from Cheviot Quarry, Milfield Basin, Northumberland",Archaeological Journal,165,1,107-264,2008,
"Marshall, P; Hamilton, WD; Allen, T; Bronk Ramsey, C; Cook, GT; Schwenninger, J-L; Hayden, C; ",Radiocarbon dates and Bayesian modelling,,,,,2008,
"Barclay, A; Beavan, N; Bradley, P; Chaffey, G; Challinor, D; McKinley, JI; Powell, A; Marshall, P; ","New evidence for mid–late Neolithic burial from the Colne valley, west London",PAST: Newsletter of the Prehistoric Society,63,,04-Jun,2009,
"Chiverrell, RC; Foster, GC; Marshall, P; Harvey, AM; Thomas, GSP; ","Coupling relationships: Hillslope–fluvial linkages in the Hodder catchment, NW England",Geomorphology,109,03-Apr,222-235,2009,
"Chiverrell, Richar d C; Foster, Geoffrey C; Thomas, GSP; Marshall, Peter; Hamilton, Derek; ",Robust chronologies for landform development,Earth Surface Processes and Landforms,34,2,319-328,2009,
"Cook, Jacqueline Cotton; Hamilton, Derek; Marshall, Peter; Stern, Ben; ",BEN JOHNSON AND CLIVE WADDINGTON,The Archaeological Journal,165,,107,2009,
"Cruise, GM; Macphail, RI; Linderholm, Johan; Maggi, Roberto; Marshall, PD; ","Lago di Bargone, Liguria, N Italy: a reconstruction of Holocene environmental and land-use history",The Holocene,19,7,987-1003,2009,
"Foster, GC; Chiverrell, RC; Thomas, GSP; Marshall, P; Hamilton, D; ","Fluvial development and the sediment regime of the lower Calder, Ribble catchment, northwest England",Catena,77,2,81-95,2009,
"Gearey, Benjamin R; Marshall, Peter; Hamilton, Derek; ","Correlating archaeological and palaeoenvironmental records using a Bayesian approach: a case study from Sutton Common, South Yorkshire, England",Journal of Archaeological Science,36,7,1477-1487,2009,
"Gearey, Benjamin; Marshall, P; ",Bayesian chronologies: yet another radiocarbon revolution?,The Archaeologist,71,,18-19,2009,
"Gibson, Alex; Bayliss, Alex; Heard, H; Mainland, I; Ogden, AR; Ramsey, C Bronk; Cook, G; van der Plicht, J; Marshall, P; ","Recent research at Duggleby Howe, North Yorkshire",Archaeological Journal,166,1,39-78,2009,
"Hamilton, WD; Marshall, P; Bronk Ramsey, C; Cook, G; McCormac, G; ",The radiocarbon results,,,,,2009,
"Howard, Andy J; Gearey, Ben R; Hill, Tom; Fletcher, William; Marshall, Peter; ","Fluvial sediments, correlations and palaeoenvironmental reconstruction: the development of robust radiocarbon chronologies",Journal of Archaeological Science,36,12,2680-2688,2009,
"Marshall, P; Hamilton, WD; van der Plicht, J; Bronk Ramsay, C; Cook, G; Goslar, T; ","Scientific dating in MG Beamish Neolithic and Bronze Age activity on the Trent Valley Floor, Excavations at Egginton and Willington, Derbyshire, 1998-1999.",Derbyshire Archaeological Journal,129,,17-172,2009,
"Parker Pearson, M; Pollard, J; ",Richards,"C., Thomas, J., Tilley, C., and Welham, K",,,23-39,2009,
"Pearson, Mike Parker; Chamberlain, Andrew; Jay, Mandy; Marshall, Peter; Pollard, Josh; Richards, Colin; Thomas, Julian; Tilley, Chris; Welham, Kate; ",Who was buried at Stonehenge?,Antiquity,83,319,23-39,2009,
"Thomas, Julian; Marshall, Peter; Pearson, Mike Parker; Pollard, Joshua; Richards, Colin; Tilley, Chris; Welham, Kate; ",The date of the Greater Stonehenge cursus,Antiquity,83,319,40-53,2009,
"Tyers, Cathy; Sidell, Jane; Van der Plicht, Johannes; Marshall, Peter; Cook, Gordon; Ramsey, Christopher Bronk; Bayliss, Alex; ","Wiggle-matching using known-age pine from Jermyn Street, London",Radiocarbon,51,2,385-396,2009,
"Chapman, Henry P; Hewson, Mark; Watters, Margaret S; Barfield, Lawrence; Ramsey, Christopher Bronk; Cook, Gordon; Gale, Rowena; Grinter, Pam; Hamilton, Derek; Ixer, Rob; ","The Catholme ceremonial complex, Staffordshire, UK",Proceedings of the Prehistoric Society,76,,135-163,2010,
"Chiverrell, RC; Foster, GC; Thomas, GSP; Marshall, P; ",Sediment transmission and storage: the implications for reconstructing landform development,Earth Surface Processes and Landforms,35,1,Apr-15,2010,
"Hamilton, WD; Marshall, PD; Hayden, C; Bronk Ramsey, C; ",Radiocarbon dating,,,,,2010,
"Leary, Jim; Marshall, Peter; ",Silbury Hill/Marlborough Mound/Hatfield Barrow (GB:) chronology of the three largest mounds in Wiltshire,Etudes,1,,2012,2010,
"Marshall, P; van der Plicht, J; Cook, GT; Grootes, PM; Beavan Athfield, N; Buzinny, M; ",Scientific dating evidence,"G. Thomas, The later Anglo-Saxon settlement at Bishopstone: A downland manor in the making",,,196-200,2010,
"Waddington, Clive; Brightman, Kate Mapplethorpe; Marshall, Peter; Meadows, John; Thornton, Alexandra; ",Fin Cop Excavation Archive Report for 2009,ARS Ltd report,,2010/13,,2010,
"Albarella, U; Parker Pearson, M; Pollard, J; Richards, C; Thomas, J; Welham, K; Chan, B; Marshall, P; Viner, S; ",Feeding Stonehenge: Feasting in Late Neolithic Britain,,,,,2011,
"Barclay, A; Marshall, P; Higham, T; Fitzpatrick, AP; ",Chronology and the radiocarbon dating programme,"The Amesbury Archer and the Boscombe Bowmen. Bell Beaker burials at Boscombe Down, Amesbury, Wiltshire",,,167-84,2011,
"Gearey, Benjamin R; Chapman, Henry P; Howard, Andrew J; Krawiec, Kristina; Bamforth, Michael; Fletcher, William G; Hill, Thomas CB; Marshall, Peter; Tetlow, Emma; Tyers, Ian; ","Beccles Triple Post Alignment, Beccles Marshes, Suffolk: Excavation and Palaeoenvironmental Analyses of an Iron Age Wetland Site",Proceedings of the Prehistoric Society,77,,231-250,2011,
"Griffiths, Seren; Bayliss, Alex; Ford, Ben; Hounslow, Mark; Karloukovski, Vassil; Ramsey, Christopher Bronk; Cook, Gordon; Marshall, Peter; ",Overview of the Scientific Dating Evidence,cal,1151,,18,2011,
"Marshall, Peter; Bayliss, Alex; Meadows, John; Ramsey, Christopher Bronk; Cook, Gordon; van der Plicht, Hans; ",Appendix I: Radiocarbon dating,,,,,2011,
"Momber, G; Heathcote, J; Scaife, R; Gillespie, J; Robinson, M; Locker, A; Nayling, N; Hamilton, D; Marshall, P; Bronk Ramsey, C; ",Bouldnor Cliff II: a window into the Mesolithic landscape,,,,,2011,
"Momber, G; Scaife, R; Gillespie, J; Nayling, N; Hamilton, D; Marshall, P; Bronk-Ramsey, C; Cook, GT; ","Rising waters, environmental change, and humans at BC-IV",,,,,2011,
"Momber, Garry; Bynoe, R; Bailey, Geoffrey; Scaife, R; Nayling, N; Hamilton, Derek; Marshall, P; Gillespie, J; Bronk Ramsey, C; Cook, GT; ","Archaeological, palaeoenvironmental, and morphological investigations at BC-V",,,,,2011,
"Myers, Victoria; Maniquis, Robert; ",Chronology,Godwinian Moments: From the Enlightenment to Romanticism,,,,2011,
"Pearson, Mike Parker; Pollard, Joshua; Richards, Colin; Thomas, Julian; Welham, Kate; Bevins, Richard; Ixer, Robert; Marshall, Peter J; Chamberlain, Andrew; ",Stonehenge: controversies of the bluestones,Menga: Revista de prehistoria de Andalucía,,1,219-252,2011,
"Strid, Lena; Poole, Cynthia; Shaffrey, Ruth; Challinor, Dana; de Jersey, Philip; Booth, Paul; Carruthers, Wendy; Mortimer, Cath; Nicholson, Rebecca; Swindle, GE; ",Winchester A City in the Making-Specialist Reports,,,,,2011,
"Waddington, Clive; Marshall, Peter; Passmore, David G; ",Towards synthesis: research and discovery in Neolithic north-east England,Proceedings of the Prehistoric Society,77,,279-319,2011,
"Best, Joanne; Woodward, Ann; Allen, Michael J; Cook, Gordon; Dungworth, David; Gale, Rowena; Hamilton, Derek; Higbee, Lorrain; Jones, Julie; Juleff, Gill; ","Late Bronze Age pottery production: Evidence from a 12th–11th century cal bc settlement at Tinney's Lane, Sherborne, Dorset",Proceedings of the Prehistoric Society,78,,207-261,2012,
"Darvill, Timothy; Marshall, Peter; Pearson, Mike Parker; Wainwright, Geoff; ",Stonehenge remodelled,Antiquity,86,334,1021-1040,2012,
"Evans, JG; Law, M; Madgwick, R; Marshall, P; Mulville, J; Pannett, A; Sheridan, A; Smith, H; Thew, N; ","11 The Beaker-period and Early Bronze Age settlement at Sligeanach, Cill Donnain",FROM MACHAIR TO MOUNTAINS,,,215,2012,
"Leary, Jim; Marshall, Peter; ","The Giants of Wessex: The chronology of the three largest mounds in Wiltshire, UK",Antiquity,86,334,,2012,
"Marshall, P; Best, J; Hamilton, D; Cook, GTC; ","Radiocarbon dating in J. Best and A. Woodward, A late Bronze Age pottery production site and settlement at Foster's Field, Tinney's Lane, Sherborne, Dorset",Proceedings of the Prehistoric Society,77,,14-17,2012,
"Marshall, P; Darvill, T; Parker Pearson, MG; Wainwright, GJ; ","Stonehenge, Amesbury, Wiltshire: chronological modelling",English Heritage Research Report Series,,Jan-12,,2012,
"Parker Pearson, M; Marshall, P; Smith, H; ","Excavations at A Beinn na Mhie Aongheis (the hill of the son of Angus), Bornais",Parker Pearson M (ed) From machair to mountains,,,308-330,2012,
"Ripper, Susan; Beamish, Matthew; Bayliss, A; Ramsey, C Bronk; Brown, A; Collins, M; Cooper, NJ; Cook, G; Cook, J; Gouldwell, A; ","Bogs, bodies and burnt mounds: visits to the Soar wetlands in the Neolithic and Bronze Age",Proceedings of the Prehistoric Society,78,,173-206,2012,
"Timberlake, S; Marshall, P; ",Understanding the chronology of British Bronze Age mines: Bayesian modeling and theories of exploitation,Mining in European History and the Impact on Environment and Human Societies Proceedings of tl1e,,,59-66,2012,
"Waddington, Clive; Beswick, P; Brightman, J; Ramsey, C Bronk; Burn, A; Cook, G; Elliot, L; Gidney, L; Haddow, S; Hammon, A; ","Excavations at Fin Cop, Derbyshire: An Iron Age Hillfort in Conflict?",Archaeological Journal,169,1,159-236,2012,
"Waddington, Clive; Passmore, DG, Marshall P D; ",Archaeology and Environment in Northumberland: Till-Tweed Studies,,,,,2012,
"Brunning, Richard; ",Somerset's Peatland Archaeology: Managing and investigating a fragile resource,,,,,2013,
"Chapman, H; Gearey, B; Whitehouse, N; Marshall, P; ",Archaeological investigations of a late Neolithic site on Hatfield Moors,,,,,2013,
"Field, David; Leary, Jim; Marshall, Peter; ",Neolithic Silbury in context,Silbury Hill: The Largest Prehistoric Mound In Europe,,,223-254,2013,
"Fyfe, RM; Bray, Lee; Juleff, Gillian; Woodbridge, Jessie; Marshall, Peter; ",The environmental impact of Romano-British iron working on Exmoor,World of Iron,,,462-472,2013,
"Gearey, B; Chapman, H; Marshall, P; Whitehouse, N; ","Modelling, dating and contexualising palaeoenvironmental records",,,,,2013,
"Hamilton, Donny L; ",Radiocarbon dating,Prehistory of the Rustler Hills,,,262-265,2013,
"Leary, Jim; Canti, Matthew; Field, David; Fowler, Peter; Marshall, Peter; Campbell, Gill; ","The Marlborough Mound, Wiltshire. A Further Neolithic Monumental Mound by the River Kennet",Proceedings of the Prehistoric Society,79,,137-163,2013,
"Marshall, P; Bayliss, A; Leary, J; Campbell, G; Worley, F; Bronk Ramsey, C; Cook, G; Field, D; ",The silbury chronology,Silbury Hill: The largest prehistoric mound in Europe,,,97-116,2013,
"Mays, Simon; Elders, Joseph; Humphrey, Louise T; White, William; Marshall, Peter; ",Science and the dead: A guideline for the destructive sampling of archaeological human remains for scientific analysis,,,,,2013,
"Pearson, Mike Parker; Marshall, Peter; Pollard, Josh; Richards, Colin; Thomas, Julian; Welham, Kate; ",Stonehenge,The Oxford Handbook of the European Bronze Age,,,159-178,2013,
"Pearson, Mike Parker; Marshall, Peter; Pollard, Joshua; Richards, Colin; Thomas, Julian; Welham, Kate; ",159 Stonehenge,The Oxford Handbook of the European Bronze Age,,,159-178,2013,
"Roberts, Helen M; Marshall, Peter; ",Isles of Scilly: Optically Stimulated Luminescence Dating of Coastal and Intertidal Sediments,,,,,2013,
"Arnold, Alison; Bayliss, Alex; Cook, Gordon; Howard, Robert; Marshall, Peter; Miles, Dan; ",RADIOCARBON DATE LIST 4,Vernacular Architecture,45,1,96-97,2014,
"Brown, Frazer; Druce, Denise; Huckerby, Elizabeth; Marshall, Peter; Rutherford, Mairiad; Smith, David; ","The excavation and analysis of a burnt mound, Drigg, Cumbria.",Cumberland and Westmorland Antiquarian and Archaeological Society Newsletter,14,,Sep-38,2014,
"Healy, Frances; Marshall, Peter D; Bayliss, Alexandra; Cook, Gordon; Ramsey, Christopher Bronk; van der Plicht, Johannes; Dunbar, Elaine; ","Grime's Graves, Weeting-with-Broomhill, Norfolk: Radiocarbon Dating and Chronological Modelling",,,,,2014,
"McKinley, Jacqueline I; Leivers, Matt; Schuster, Jörn; Marshall, Peter; Barclay, Alistair J; Stoodley, Nick; ",Cliffs End Farm,,,,,2014,
"Timberlake, Simon; Marshall, Peter; ",The beginnings of metal production in Britain: a new light on the exploitation of ores and the dates of Bronze Age mines,Journal of the Historical Metallurgy Society,47,1,75-92,2014,
"Bayliss, Alex; Bronk Ramsey, Christopher; Cook, Gordon; McCormac, Gerry; Marshall, Peter; ",Radiocarbon Dates: From samples funded by English Heritage between 1993 and 1998,,,,,2015,
"Canti, Matthew; Bronk-Ramsey, Christopher; Hua, Quan; Marshall, Peter; ",Chronometry of pedogenic and stratigraphic events from calcite produced by earthworms,Quaternary Geochronology,28,,96-102,2015,
"Charman, Dan J; Johns, Charles; Camidge, Kevin; Marshall, Peter; Mills, Steve; Mulville, Jacqui; Roberts, Helen M; Stevens, Todd; ",The Lyonesse Project: A study of the historic coastal and marine environment of the Isles of Scilly.,,,,,2015,
"Craig, Oliver E; Shillito, Lisa-Marie; Albarella, Umberto; Viner-Daniels, Sarah; Chan, Ben; Cleal, Ros; Ixer, Robert; Jay, Mandy; Marshall, Pete; Simmons, Ellen; ",Feeding Stonehenge: cuisine and consumption at the Late Neolithic site of Durrington Walls,Antiquity,89,347,1096-1109,2015,
"Hart, Diccon; Allott, Lucy; Bamforth, Michael; Bates, Martin; Jones, Sarah; Marshall, Peter; Walker, Mike; Weisskopf, Alison; ","Early Neolithic Trackways in the Thames Floodplain at Belmarsh, London Borough of Greenwich",Proceedings of the Prehistoric Society,81,,215-237,2015,
"McKinley, Jacqueline I; Leivers, Matt; Marshall, Peter; Schuster, Jörn; Barclay, Alistair; ","Cliffs End Farm Isle of Thanet, Kent: A mortuary and ritual site of the Bronze Age, Iron Age and Anglo-Saxon period with evidence for long-distance maritime mobility",,,,,2015,
"Millard, AR; ",Isotopic investigation of residential mobility and diet,,,,,2015,
"Murray, Hilary K; Murray, J Charles; Ballin, Torben; Cook, Gordon; Cramp, Lucy; Marshall, Peter; Sheridan, Alison; Timpany, Scott; ","Mesolithic and early Neolithic activity along the Dee: excavations at Garthdee Road, Aberdeen",Proceedings of the Society of Antiquaries of Scotland,144,,Jan-64,2015,
"Pelling, Ruth; Campbell, Gill; Carruthers, Wendy; Hunter, Kath; Marshall, Peter; ",Exploring contamination (intrusion and residuality) in the archaeobotanical record: case studies from central and southern England,Vegetation History and Archaeobotany,24,1,85-99,2015,
"Allen, Michael J; Smith, Martin; Jay, Mandy; Montgomery, Janet; Ramsey, Christopher Bronk; Cook, Gordon; Marshall, Peter; ","Wor Barrow, Cranborne Chase, Dorset. Chronological Modelling",,,,,2016,
"Allen, MJ; Chan, B; Cleal, R; French, C; Marshall, P; Pollard, J; Pullen, R; Richards, C; Ruggles, C; Robinson, D; ",Stonehenge’s Avenue and Bluestonehenge,Antiquity,90,352,991-1008,2016,
"Bamforth, Michael; Krawiec, Kristina; Baldwin, Eamonn; Gaffney, Chris; Hopla, Emma; Marshall, Peter; Mynett, Abby; Smith, David; Smith, Wendy; Tyers, Ian; ",Archaeological excavations and analyses of a Late Prehistoric timber alignment: The Beccles Project (2006–2012),"Down by the River: Archaeological, Palaeoenvironmental and Geoarchaeological Investigations of the Suffolk River Valleys",,,79-138,2016,
"Bayliss, Alex; Ramsey, Christopher Bronk; Cook, Gordon; Marshall, Peter; McCormac, Gerry; van der Plicht, Johannes; ",Radiocarbon Dates: from samples funded by English Heritage between 1998 and 2003,,,,,2016,
