author,title,journal,Volume,Number,Pages,year,url
"Jakucs, János; Bánffy, Eszter; Oross, Krisztián; Voicsek, Vanda; Bronk Ramsey, Christopher; Dunbar, Elaine; Kromer, Bernd; Bayliss, Alex; Hofmann, Daniela; Marshall, Peter; ",Between the Vinča and Linearbandkeramik worlds: The diversity of practices and identities in the 54th–53rd centuries cal BC in southwest Hungary and beyond,Journal of World Prehistory,29,3,267-336,2016,
"Marshall, Peter; Bronk Ramsay, Christopher; Russell, Nicola; Brock, Fiona; Reimer, Paula; ",Interpreting the chronology of the cist,,,,,2016,
"Marshall, Peter; Clarke, David; Sheridan, Alison; Ramsey, C; ","Links of Noltland, Westray, Orkney: Radiocarbon dating and chronological modelling",Research Report Series,2016,38,,2016,
"Marshall, Peter; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; ",The Mesolithic of the wetland/dryland edge in the Somerset levels: radiocarbon dating,,,,,2016,
"Marshall, Peter; Ramsey, Christopher Bronk; Russell, Nicola; Brock, Fiona; Reimer, Paula; ",20. Interpreting the chronology of the cist,"Preserved in the Peat: An Extraordinary Bronze Age Burial on Whitehorse Hill, Dartmoor, and Its Wider Context",,,184,2016,
"Pearson, Mike Parker; Chamberlain, Andrew; Jay, Mandy; Richards, Mike; Sheridan, Alison; Curtis, Neil; Evans, Jane; Gibson, Alex; Hutchison, Margaret; Mahoney, Patrick; ","Beaker people in Britain: migration, mobility and diet",Antiquity,90,351,620-637,2016,
"Sharples, N; Ingrem, Claire; Marshall, Peter; Mulville, Jacqui; Powell, Adrienne; Reed, K; Barrett, J; Gibbon, SJ; ","The Viking occupation of the Hebrides: evidence from the excavations at Bornais, South Uist",Maritime societies of the Viking and medieval world,,,237-258,2016,
"Sturt, Fraser; Standen, Tyra; Grant, Michael; Dix, Justin; Marshall, Peter; Cameron, Nigel; Hughes, Paul; ",6918 Determining potential: onshore/offshore prehistory,,,,,2016,
"Thomas, Gabor; McDonnell, Gerry; Merkel, John; Marshall, Peter; ","Technology, ritual and Anglo-Saxon agriculture: the biography of a plough coulter from Lyminge, Kent",Antiquity,90,351,742-758,2016,
"Willis, Christie; Marshall, Peter; McKinley, Jacqueline; Pitts, Mike; Pollard, Joshua; Richards, Colin; Richards, Julian; Thomas, Julian; Waldron, Tony; Welham, Kate; ",The dead of Stonehenge,Antiquity,90,350,337-356,2016,
"Barclay, Alistair; Bayliss, Alex; Ramsey, Christopher Bronk; Cook, Gordon; Marshall, Peter; Tyers, Cathy; Reimer, Paula; ","91 HIGH STREET, ST MARY CRAY, ORPINGTON, GREATER LONDON RADIOCARBON WIGGLE MATCHING OF TIMBERS",,,,,2017,
"Bayer, Olaf; Simmonds, Andrew; Welsh, Ken; Boardman, Sheila; Dunbar, Elaine; Hogg, Alan; Marshall, Peter; McKenzie, Jo; Quinnell, Henrietta; Reimer, Paula; ","Excavation of an early Bronze Age Round Barrow at Emmets Post, Shaugh Prior, Dartmoor",Proc. Devon Archaeol. Soc,75,,51-95,2017,
"Bayliss, Alex; Cartwright, Caroline; Cook, Gordon; Griffiths, Seren; Madgwick, Richard; Marshall, Peter; Reimer, Paula; Bickle, P; Cummings, V; Hofmann, D; ","Rings of fire and Grooved Ware settlement at West Kennet, Wiltshire",The Neolithic of Europe: Papers in Honour of Alasdair Whittle,,,249-278,2017,
"Bayliss, Alex; Marshall, Peter; Richards, Colin; Whittle, Alasdair; ",The Late Neolithic timescape of Orkney: islands of history,Antiquity,91,,,2017,
"Bayliss, Alex; Marshall, Peter; Richards, Colin; Whittle, Alasdair; ",Islands of history: the Late Neolithic timescape of Orkney,antiquity,91,359,1171-1188,2017,
"Bayliss, Alex; Marshall, Peter; Tyers, Catherine; Ramsey, C Bronk; Cook, Gordon; Freeman, SPHT; Griffiths, Seren; ",Informing conservation: towards 14C wiggle-matching of short tree-ring sequences from medieval buildings in England,Radiocarbon,59,3,985-1007,2017,
"Clarke, David; Sheridan, Alison; Shepherd, Alexandra; Sharples, Niall; Armour-Chelu, Miranda; Hamlet, Laura; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; Marshall, Peter; ","The end of the world, or just ‘Goodbye to all that’? Contextualising the red deer heap from the Links of Noltland, Westray, within late third millennium cal BC Orkney",Proceedings of the Society of Antiquaries of Scotland,146,,,2017,
"Gearey, Benjamin R; Hopla, Emma-J; Boomer, Ian; Smith, David; Marshall, Peter; Fitch, Simon; Griffiths, Seren; Tappin, David R; ","Multi-proxy palaeoecological approaches to submerged landscapes: a case study from ‘Doggerland’, in the southern North Sea",The archaeological and forensic applications of microfossils: a deeper understanding of human history,,,35-53,2017,
"Gearey, Benjamin; Hopla, Emma; Griffiths, Seren; Boomer, Ian; Smith, David; Marshall, Peter; Tappin, David; ",Integrating multi-proxy palaeoecological and archaeological approaches to submerged landscapes:: a case study from the southern North Sea,The Archaeological and Forensic Applications of Microfossils:: A Deeper Understanding of Human History,,,,2017,
"Hazell, Zoë; Crosby, Vicky; Oakey, Matthew; Marshall, Peter; ","Archaeological investigation and charcoal analysis of charcoal burning platforms, Barbon, Cumbria, UK",Quaternary International,458,,178-199,2017,
"Hill, Tom; Whittaker, John; Brunning, Richard; Law, Matt; Bell, Martin; Ramsey, Christopher Bronk; Dunbar, Elaine; Marshall, Peter; ","Palaeoenvironmental investigations of a Mesolithic–Neolithic sedimentary sequence from Queen’s Sedgemoor, Somerset",,,,,2017,
"Jarman, Rob; Marshall, Peter; Allaby, Robin; Davies, James; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; Chambers, Frank M; ","Sweet Chestnut Nut Fragments from Romano-British Sites at Castle Street, Carlisle and Great Holts Farm, Boreham, Essex–a New Assessment",,,,,2017,
"Krawiec, K; Hopla, EJ; Grinter, P; Smith, David; Marshall, P; Hill, TCB; Gearey, B; ","Palaeoenvironmental Investigations of the River Chelmer, Chelmsford, Essex, UK",Journal of Wetland Archaeology,17,1,51-73,2017,
"Mays, S; Fryer, R; Pike, AWG; Cooper, MJ; Marshall, P; ",A multidisciplinary study of a burnt and mutilated assemblage of human remains from a deserted mediaeval village in England,Journal of Archaeological Science: Reports,16,,441-455,2017,
"Nayling, Nigel; Bale, Roderick; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; Marshall, Peter; ","Glastonbury Lake Village, Glastonbury, Somerset: Dendrochronological Analysis and Radiocarbon Wiggle Matching of Oak Timbers",,,,,2017,
"Needham, Stuart; Kenny, James; Cole, Garrard; Montgomery, Janet; Jay, Mandy; Davis, Mary; Marshall, Peter; ","Death by combat at the dawn of the Bronze Age? Profiling the dagger-accompanied burial from Racton, West Sussex",The Antiquaries Journal,97,,65-117,2017,
"Osztás, Anett; Zalai-Gaál, István; Bánffy, Eszter; Marton, Tibor; Nyerges, Éva Ágnes; Köhler, Kitti; Somogyi, Krisztina; Gallina, Zsolt; Bronk Ramsey, Christopher; Dunbar, Elaine; ",Coalescent community at Alsónyék: the timings and duration of Lengyel burials and settlement,Bericht der Roemisch-Germanische Kommission,94,,179-182,2017,
"Parker Pearson, M; Chan, B; Chapman, H; Gaffney, V; Garwood, P; Marshall, P; Aldrian, L; Neubauer, W; ",Durrington Walls: was this the start of Britain’s Copper Age,PAST: Newsletter of the Prehistoric Society,87,,03-May,2017,
"Roberts, David; Last, Jonathan; Linford, Neil; Bedford, Jon; Bishop, Barry; Dobie, Judith; Dunbar, Elaine; Forward, Alice; Linford, Paul; Marshall, Peter; ",The early field systems of the Stonehenge landscape,Landscapes,18,2,120-140,2017,
"Roberts, David; Moorhead, Sam; Robinson, P; Payne, Andy; Winton, Helen; Hembrey, N; Bishop, Barry; Campbell, Gill; Dungworth, David; Forward, Alice; ","Recent work on Urchfont Hill, Urchfont, Wiltshire",Wiltshire Archaeological & Natural History Magazine,110,,134-170,2017,
"Russell, Michael; AYTON, GEMMA; RAMSEY, CHRISTOPHER BRONK; BROWN, DUNCAN H; CAMPBELL, GILL; CAMPBELL, GREG; DOBIE, JUDITH; HIGGINS, DAVID A; LEWIS, MICHAEL; MARSHALL, PETER; ","EXCAVATIONS IN AND AROUND THE PRIVY GARDEN, CARISBROOKE CASTLE, ISLE OF WIGHT, 2006 AND 2008-9.",Hampshire Studies (1368-2709),72,1,,2017,
"Sheridan, Alison; Cook, G; Naysmith, P; Marshall, P; Whittle, Alasdair; Clarke, D; Charlton, Sophy Jessica Laura; ","Radiocarbon dates associated with the Scottish history and archaeology department, National Museums Scotland, 2015/16",Discovery and Excavation in Scotland,17,,192-195,2017,
"Arnold, Alison; Howard, Robert; Tyers, Cathy; Bronk, Christopher; Ramsey, Elaine Dunbar; Marshall, Peter; ","Belsay Castle, Belsay, Near Morpeth, Northumberland: Tree-Ring and Radiocarbon Analysis of Oak Timbers",,,,,2018,
"Barclay, Alistair J; Bayliss, Alex; Bronk Ramsey, C; Cleal, Ros; Cook, Gordon; Healy, Frances; Higbee, Lorrain; Marshall, Peter; Pelling, P; Stevens, Chris J; ",Dating the earliest Neolithic ceramics of Wessex,Swindon: Historic England Research Report,63,,2018,2018,
"Bunting, M Jane; Farrell, Michelle; Bayliss, Alex; Marshall, Peter; Whittle, Alasdair; ",Maps from mud—using the multiple scenario approach to reconstruct land cover dynamics from pollen records: a case study of two Neolithic landscapes,Frontiers in Ecology and Evolution,6,,36,2018,
"Card, Nick; Mainland, Ingrid; Timpany, Scott; Towers, Roy; Batt, Cathy; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; Bayliss, Alex; Marshall, Peter; ","To cut a long story short: formal chronological modelling for the Late Neolithic site of Ness of Brodgar, Orkney",European Journal of Archaeology,21,2,217-263,2018,
"Healy, Frances; Marshall, Peter; Bayliss, Alex; Cook, Gordon; Ramsey, Christopher Bronk; Van Der Plicht, Johannes; Dunbar, Elaine; ","When and why? The chronology and context of flint mining at Grime’s Graves, Norfolk, England",Proceedings of the Prehistoric Society,84,,277-301,2018,
"Jakucs, János; Oross, Krisztián; Bánffy, Eszter; Voicsek, Vanda; Dunbar, Elaine; Reimer, Paula; Bayliss, Alex; Marshall, Peter; Whittle, Alasdair; ",Rows with the neighbours: the short lives of longhouses at the Neolithic site of Versend-Gilencsa,antiquity,92,361,91-117,2018,
"Marshall, Peter; Bronk Ramsey, Christopher; Dunbar, Elaine; Reimer, Paula; ",Radiocarbon dating,,,,,2018,
"Mays, Simon; Roberts, David; Marshall, Peter; Pike, Alistair WG; van Heekeren, Vivian; Ramsey, C Bronk; Dunbar, Elaine; Reimer, Paula; Linscott, Bethan; Radini, Anita; ",Lives before and after Stonehenge: An osteobiographical study of four prehistoric burials recently excavated from the Stonehenge World Heritage Site,Journal of Archaeological Science: Reports,20,,692-710,2018,
"Roberts, David; Valdez-Tullett, Andrew; Marshall, Peter; Last, Jonathan; Oswald, Alastair; Barclay, Alistair; Bishop, B; Dunbar, E; Forward, A; Law, M; ",Recent investigations at two long barrows and reflections on their context in the Stonehenge World Heritage Site and environs,Internet Archaeology,47,,,2018,
"Arnold, Alison; Howard, Robert; Tyers, Cathy; Marshall, Peter; Bollhalder, Silvia; Ramsey, C Bronk; Dee, Michael; Dunbar, Elaine; Palstra, Sanne; Wacker, Lukas; ","Girlington Hall Farmhouse, Ovington, County Durham: tree-ring analysis of oak and elm timbers and radiocarbon wiggle-matching of elm timbers",English Heritage Research Department Report,79,,2019,2019,
"Bayliss, Alex; Marshall, Peter; ",Confessions of a serial polygamist: the reality of radiocarbon reproducibility in archaeological samples,Radiocarbon,61,5,1143-1158,2019,
"Henry, Richard; Roberts, David; Grant, Michael J; Pelling, Ruth; Marshall, Peter; ","A contextual analysis of the late Roman Pewsey and Wilcot vessel hoards, Wiltshire",Britannia,50,,149-184,2019,
"Jay, Mandy; Richards, Michael P; Marshall, Peter; ",Radiocarbon dates and their Bayesian modelling,Parker Pearson et al,,,43-80,2019,
"Marshall, Peter; Bayliss, Alex; Farid, Shahina; Tyers, Cathy; Ramsey, C Bronk; Cook, Gordan; Doğan, Turhan; Freeman, Stuart PHT; İlkmen, E; Knowles, Timothy; ",14C wiggle-matching of short tree-ring sequences from post-medieval buildings in England,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,438,,218-226,2019,
"Marshall, Peter; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula J; ",Chronology and the radiocarbon dating programme (Barrow Clump),,,,,2019,
"Worley, Fay; Madgwick, Richard; Pelling, Ruth; Marshall, Peter; Evans, Jane A; Lamb, Angela L; López-Dóriga, Inés L; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula; ",Understanding Middle Neolithic food and farming in and around the Stonehenge World Heritage Site: an integrated approach,Journal of Archaeological Science: Reports,26,,101838,2019,
"Arnold, Alison; Howard, Robert; Dunbar, Elaine; Tyers, Cathy; Marshall, Peter; ","Furness Abbey, Manor Road, Barrow-In-Furness, Cumbria: Tree-Ring Analysis and Radiocarbon Wiggle-Matching of the Presbytery Wall Foundation Raft Timbers",,,,,2020,
"Arnold, Alison; Howard, Robert; Tyers, Cathy; Ramsey, Christopher Bronk; Dunbar, Elaine; Marshall, Peter; ","The Guildhall, Register Square, Beverley, East Yorkshire. Tree-Ring and Radiocarbon Analysis of Oak Timbers",,,,,2020,
"Arnold, Alison; Howard, Robert; Tyres, Cathy; Bronk Ramsey, Christopher; Dunbar, Elaine; Marshall, Peter; ","Early Fabric in Historic Towns: Beverley-15 Flemingate, Beverley, East Yorkshire: Tree-Ring and Radiocarbon Analysis of Oak Timbers",,,,,2020,
"Barnett, R; Charman, DJ; Johns, C; Ward, SL; Bevan, A; Bradley, SL; Camidge, K; Fyfe, RM; Gehrels, WR; Gehrels, MJ; ",Non-linear landscape and cultural response to sea-level rise (datasets),,,,,2020,
"Barnett, Robert L; Charman, Dan J; Johns, Charles; Ward, Sophie L; Bevan, Andrew; Bradley, Sarah L; Camidge, Kevin; Fyfe, Ralph M; Gehrels, W Roland; Gehrels, Maria J; ",Nonlinear landscape and cultural response to sea-level rise,Science advances,6,45,eabb6376,2020,
"Bayliss, Alex; Marshall, Peter; Dee, Michael W; Friedrich, Michael; Heaton, Timothy J; Wacker, Lukas; ",IntCal20 tree rings: an archaeological SWOT analysis,Radiocarbon,62,4,1045-1078,2020,
"Farrell, Michelle; Bunting, M Jane; Sturt, Fraser; Grant, Michael; Aalbersberg, Gerard; Batchelor, Rob; Brown, Alex; Druce, Denise; Hill, Tom; Hollinrake, Arthur; ",Opening the woods: towards a quantification of Neolithic clearance around the Somerset Levels and Moors,Journal of Archaeological Method and Theory,27,2,271-301,2020,
"Greaney, Susan; Hazell, Zoë; Barclay, Alistair; Ramsey, Christopher Bronk; Dunbar, Elaine; Hajdas, Irka; Reimer, Paula; Pollard, Joshua; Sharples, Niall; Marshall, Peter; ","Tempo of a mega-henge: a new chronology for Mount Pleasant, Dorchester, Dorset",Proceedings of the Prehistoric Society,86,,199-236,2020,
"Marshall, Peter; Bayliss, Alex; Grant, Michael; Bridgland, David R; Duller, Geoff; Housley, Rupert; Matthews, Ian; Outram, Zoe; Penkman, Kirsty EH; Pike, Alistair; ",6390 Scientific dating of Pleistocene sites: guidelines for best practice,,,,,2020,
"Marshall, Peter; Brunning, Richard; Minnitt, Stephen; Ramsey, Christopher Bronk; Dunbar, Elaine; Reimer, Paula J; ",The chronology of Glastonbury Lake Village,Antiquity,94,378,1464-1481,2020,
"Roberts, David; Barclay, Alistair; Bishop, Barry; Bronk-Ramsey, Christopher; Campbell, Greg; Canti, Matthew; Dobie, Judith; Dunbar, Elaine; Dunne, Julie; Evershed, Richard P; ","Middle Neolithic pits and a burial at West Amesbury, Wiltshire",Archaeological Journal,177,2,167-213,2020,
"Roberts, David; Marshall, Peter; ",Pit digging and lifeways in Neolithic Wiltshire,,,,,2020,
"Tyers, Ian; Marshall, Peter; Ramsey, Christopher Bronk; Dunbar, Elaine; Hajdas, Irka; Palstra, Sanne W; Reimer, Paula; Wacker, Lukas; ","Must Farm, Whittlesey, Cambridgeshire: Dendrochronological and Radiocarbon Dating",,,,,2020,
"Bishop, Barry; Price, Kathryn M; Marshall, Peter; Lamb, Sophie; Vallender, John; Roberts, David; ","Flintworking in the Middle Neolithic: Techniques, technologies and deposition on Salisbury Plain in the late 4th millennium BC",Lithics–The Journal of the Lithic Studies Society,,40,5,2021,
"Hamilton, Derek; ",Radiocarbon dating,Mazara/Māzar: nel ventre della città medievale (secoli VII-XV). Edizione Critica Degli Scavi (1997) in via Tenente Gaspare Romano. Biblioteca di Archeologia Medievale,32,,83-85,2021,
"Jenkins, David A; Timberlake, Simon; Davidson, Andrew; Mal, Kalla; Marshall, Peter; Mighall, Tim; O’Brien, Charlotte; Smith, David N; ","Copper Mining in the Bronze Age at Mynydd Parys, Anglesey, Wales",Proceedings of the Prehistoric Society,87,,261-291,2021,
"Pearson, Mike Parker; Mulville, Jacqui; Smith, Helen; Marshall, Peter; ","Cladh Hallan-Roundhouses and the dead in the Hebridean Bronze Age and Iron Age: Part I: Stratigraghy, Spatial Organisation and Chronology",,,,,2021,
"Simmonds, Michael; Branch, Nicholas; Marshall, Peter; Hosfield, Robert; Black, Stuart; ",New insights into Late Devensian Lateglacial and early Holocene environmental change: Two high-resolution case studies from SE England,Review of Palaeobotany and Palynology,287,,104364,2021,
"Timpany, Scott; Arnold, Alison; Howard, Robert; Dunbar, Elaine; Reimer, Paula; Smith, David; Tyers, Cathy; Marshall, Peter; ","Pett Level, Rother, East Sussex: Palaeoecological Investigation of the ‘Submerged Forest’and Intertidal Peat",Historic England 270/2020,,,,2021,
"Arnold, Alison; Howard, Robert; Tyers, Cathy; Dee, Michael; Palstra, Sanne; Marshall, Peter; ","Trerithick, Polyphant, Altarnun, Cornwall: Radiocarbon wiggle-matching of oak timbers",,,,,2022,
"Bunting, M Jane; Farrell, Michelle; Dunbar, Elaine; Reimer, Paula; Bayliss, Alex; Marshall, Peter; Whittle, Alasdair; ","Landscapes for Neolithic people in mainland, Orkney",Journal of World Prehistory,35,1,87-107,2022,
"Griffiths, Seren; Johnston, Robert; May, Rowan; McOmish, David; Marshall, Peter; Last, Jonathan; Bayliss, Alex; ",Dividing the land: time and land division in the English north Midlands and Yorkshire,European Journal of Archaeology,25,2,216-237,2022,
"Moore, Hazel; Wilson, Graeme; Challanain, Mairead Ni; McCormick, Maeve; Marshall, Peter D; Dulias, Katharina; Foody, M George B; Justeau, Pierre; Pala, Maria; Richards, Martin B; ",Migration and community in Bronze Age Orkney: innovation and continuity at the Links of Noltland,Antiquity,96,387,541-559,2022,
"Bayliss, Alexandra; Ramsey, Christopher Bronk; Cook, Gordon; Marshall, Peter; van der Plicht, Johannes; ",Radiocarbon Dates from Samples Funded by English Heritage Between 2006 and 2010,,,,,2023,
"Marshall, Peter; Pelling, Ruth; Bronk Ramsey, Christopher; Dunbar, Elaine; Hajdas, Irka; Palstra, Sanne; Reimer, Paula; ","Radiocarbon Dating of Carbonised Plant Macrofossils: Woodcutts, Iwerne, Rotherley, Durrington Walls, Cuckoo Stone, Coneybury Henge, Lockington, Thanet Earth and Hunsbury Hillfort",,,,,2023,
"Parker Pearson, Mike; ",Stonehenge,Encyclopedia of Geoarchaeology,,,01-May,2023,
"Timberlake, Simon; Kidd, Douglas; Mighall, Tim; Marshall, Pete; ","IRON AGE AND ROMAN MINING AT ALDERLEY EDGE, CHESHIRE: An archaeological excavation of Pot Shaft, Engine Vein in 1997 Simon.",Mining History,22,1,,2023,
"Timberlake, Simon; Kidd, Douglas; Mighall, Timothy; Marshall, Pete; ","Iron Age and Roman Mining at Alderley Edge, Cheshire: An archaeological excavation of Pot Shaft, Engine Vein in 1997",Mining History: The Bulletin of the Peak District Mines Historical Society,22,1,29-53,2023,
"Bayliss, Alex; Brown, David; Dee, Michael; Marshall, Peter; Wacker, Lukas; ",Caveat emptor!—wiggle-matching European wood samples (AD 46–AD 286),Radiocarbon,66,3,580-596,2024,
"Marshall, Peter; ","Storm’s Edge: Life, Death and Magic in the Islands of Orkney",,,,,2024,
"Marshall, Peter; Bayliss, Alex; Bronk Ramsey, Christopher; Cook, Gordon; McCormac, Gerry; Plicht, Johannes; ",Radiocarbon Dates from samples funded by English Heritage between 2003 and 2006,,,,,2024,
"Marshall, Peter; Tyers, Ian; Bronk Ramsey, Christopher; Dee, Michael; Dunbar, Elaine; Reimer, Paula; ","Alverstone Marshes, Isle of Wight: Dendrochronological and Radiocarbon Analysis",,,,,2024,
"Russell, Michael; Dunne, Julie; Evershed, Richard; Quinn, Patrick; Dobie, Judith; Marshall, Peter; Roberts, David; ","Peterborough Ware from West Amesbury Farm, Wiltshire",Wiltshire Archaeological and Natural History Magazine,117,,19-50,2024,
"Tyers, Ian; Marshall, Peter; Bronk Ramsey, Christopher; Dunbar, Elaine; Hajdas, Irka; Palstra, Sanne WL; Reimer, Paula; Wacker, Lukas; ",Chronology (Must Farm pile-dwelling settlement: Volume 2. Specialist reports),,,,,2024,
"Gaydarska, Bisserka; Bayliss, Alex; Marshall, Peter; Bronk Ramsey, Christopher; Dee, Michael; Dunbar, Elaine; Hajdas, Irka; Leary, Jim; ","Wilsford Henge, Wilsford, Wiltshire: Radiocarbon Dating and Chronological Modelling","HE Res Rep Ser, 91/2024",,,,2025,https://historicengland.org.uk/research/results/reports/91-2024
"Grant, Michael; Marshall, Peter; ",Scientific dating of Pleistocene sites: guidelines for best practice,,,,,2025,